name,name_cn,date,bgm_id,douban_id,bili_id,anidb_id,mal_id,tmdb_id,imdb_id,tvdb_id,wikidata_id
じょしらく,女子落语,2012-07,37897,10577733,,8899,12679,tv/79040/season/1,tt2250184,259651,Q519798
俺の妹がこんなに可愛いわけがない。,我的妹妹哪有这么可爱。,2013-04,37898,10573483,md2661,9134,13659,,tt2825170,194961,
影技 SHADOW SKILL,影技,1998-07,37905,3286387,md2250,42,678,,,72412,
CØDE:BREAKER,法外制裁者,2012-10,37946,10569027,md739,8673,11703,tv/57287/season/1,tt2294070,262093,
花より男子,花样男子,1996-09,37955,1465668,,387,106,tv/17438,tt0489597,73670,Q703107
DRAGON QUEST -ダイの大冒険-,神龙之谜,1991-10,37961,,md5413,1105,2229,,,157001,
リトルバスターズ！,Little Busters!,2012-10,38040,10577718,md3242,9132,13655,tv/53715/season/1,tt2309408,259638,Q3835011
K,,2012-10,38069,10545923,md685,9043,14467,tv/45799/season/1,tt2377452,261249,Q972852
青の祓魔師 劇場版,青之驱魔师 剧场版,2012-12,38070,6869414,md3543,8689,11737,movie/201223,tt3028018,248035,Q57260534
グリーングリーン,钟之音学园,2003-07,38071,3272916,,834,133,,,80608,
Di Gi Charat,Di Gi Charat,1999-11,38072,5948644,md2085,553,293,,,73501,
ROAD TO NINJA -NARUTO THE MOVIE-,火影忍者 剧场版 忍者之路,2012-07,38081,7152908,md28369403,9023,13667,movie/118406,tt2290828,79824,Q559071
名探偵コナン KID in TRAP ISLAND,名侦探柯南 怪盗基德孤岛决战,2010-04,38118,4886302,,7494,8609,movie/960611,,72454,
名探偵コナン 10年後の異邦人,名侦探柯南 十年后的陌生人,2010-04,38119,3794489,,6650,6438,movie/1221954,,72454,
名探偵コナン 女子高生探偵 鈴木園子の事件簿,名侦探柯南 女子高中生侦探 铃木园子事件簿,2010-04,38120,3993582,,,,,,,
名探偵コナン 阿笠からの挑戦状! 阿笠vsコナン&少年探偵団,名侦探柯南 来自阿笠的挑战书！阿笠VS柯南&少年侦探团,2008-04,38121,3993581,,5444,2597,,,72454,
名探偵コナン 消えたダイヤを追え! コナン・平次vsキッド!,名侦探柯南 追踪消失的钻石！柯南·平次VS基德,2008-04,38122,3993580,,,,,,,
名探偵コナン 標的は小五郎!! 少年探偵団マル秘調査,名侦探柯南 目标是小五郎！！少年侦探团的秘密调查,2006-03,38123,3993579,,3598,2515,movie/1221942,,72454,
名探偵コナン コナンとキッドとクリスタル・マザー,名侦探柯南 柯南、基德与水晶之母,2006-03,38124,3993578,,,,,tt11192850,,
名探偵コナン コナンと平次と消えた少年,名侦探柯南 柯南、平次与消失的少年,2006-03,38125,3993576,,,,movie/469758,tt3737644,,
名探偵コナン 16人の容疑者!?,名侦探柯南 16名嫌疑犯！？,2006-03,38126,3986596,,,,,tt1345497,,
